time	V(pulse)	V(ref)	V(v+)
1.880472945617140e-07	2.825049e-03	2.834117e-03	3.297166e+00
1.880525217808260e-07	2.824265e-03	2.834117e-03	3.297166e+00
1.880564233609410e-07	2.824498e-03	2.834117e-03	3.297166e+00
1.880600161549829e-07	2.825328e-03	2.834117e-03	3.297166e+00
1.880647095816985e-07	2.827136e-03	2.834117e-03	3.297166e+00
1.880716617569899e-07	2.830699e-03	2.834117e-03	3.297166e+00
1.880798475636089e-07	2.835397e-03	2.834117e-03	3.297166e+00
1.880888441782982e-07	2.840374e-03	2.834117e-03	3.297166e+00
1.880935666694327e-07	2.842548e-03	2.834117e-03	3.297166e+00
1.880978036989276e-07	2.843983e-03	2.834117e-03	3.297166e+00
1.881019717217596e-07	2.844844e-03	2.834117e-03	3.297166e+00
1.881083303073872e-07	2.845298e-03	2.834117e-03	3.297166e+00
1.881133685400811e-07	2.844998e-03	2.834117e-03	3.297166e+00
1.881187613817418e-07	2.844057e-03	2.834117e-03	3.297166e+00
1.881241535406960e-07	2.842692e-03	2.834117e-03	3.297166e+00
1.881313968502814e-07	2.840533e-03	2.834117e-03	3.297166e+00
1.881357816674056e-07	2.839175e-03	2.834117e-03	3.297166e+00
1.881402723376403e-07	2.837845e-03	2.834117e-03	3.297166e+00
1.881449310536036e-07	2.836645e-03	2.834117e-03	3.297166e+00
1.881513304726740e-07	2.835382e-03	2.834117e-03	3.297166e+00
1.881581942268704e-07	2.834554e-03	2.834117e-03	3.297166e+00
1.881646262717905e-07	2.834323e-03	2.834117e-03	3.297166e+00
1.881711933411080e-07	2.834582e-03	2.834117e-03	3.297166e+00
1.881766062506376e-07	2.835105e-03	2.834117e-03	3.297166e+00
1.881815539735750e-07	2.835774e-03	2.834117e-03	3.297166e+00
1.881865804458116e-07	2.836553e-03	2.834117e-03	3.297166e+00
1.881934768465596e-07	2.837639e-03	2.834117e-03	3.297166e+00
1.882003421212415e-07	2.838606e-03	2.834117e-03	3.297166e+00
1.882086588565001e-07	2.839506e-03	2.834117e-03	3.297166e+00
1.882164315439439e-07	2.840047e-03	2.834117e-03	3.297166e+00
1.882209683020043e-07	2.840189e-03	2.834117e-03	3.297166e+00
1.882261641973064e-07	2.840186e-03	2.834117e-03	3.297166e+00
1.882314417895174e-07	2.840049e-03	2.834117e-03	3.297166e+00
1.882388170434872e-07	2.839714e-03	2.834117e-03	3.297166e+00
1.882467991598296e-07	2.839282e-03	2.834117e-03	3.297166e+00
1.882543349594812e-07	2.838902e-03	2.834117e-03	3.297166e+00
1.882606781695031e-07	2.838666e-03	2.834117e-03	3.297166e+00
1.882653376870691e-07	2.838569e-03	2.834117e-03	3.297166e+00
1.882698849250343e-07	2.838546e-03	2.834117e-03	3.297166e+00
1.882763530350284e-07	2.838584e-03	2.834117e-03	3.297166e+00
1.882836054900802e-07	2.838656e-03	2.834117e-03	3.297166e+00
1.882914236951541e-07	2.838702e-03	2.834117e-03	3.297166e+00
1.883001442683453e-07	2.838681e-03	2.834117e-03	3.297166e+00
1.883061077182488e-07	2.838630e-03	2.834117e-03	3.297166e+00
1.883113368219822e-07	2.838590e-03	2.834117e-03	3.297166e+00
1.883167127488825e-07	2.838598e-03	2.834117e-03	3.297166e+00
1.883238218222529e-07	2.838698e-03	2.834117e-03	3.297166e+00
1.883306252074376e-07	2.838850e-03	2.834117e-03	3.297166e+00
1.883379499194170e-07	2.838981e-03	2.834117e-03	3.297166e+00
1.883456142081241e-07	2.838986e-03	2.834117e-03	3.297166e+00
1.883508483493747e-07	2.838873e-03	2.834117e-03	3.297166e+00
1.883553468139095e-07	2.838696e-03	2.834117e-03	3.297166e+00
1.883596967776704e-07	2.838492e-03	2.834117e-03	3.297166e+00
1.883663723005531e-07	2.838195e-03	2.834117e-03	3.297166e+00
1.883737496241488e-07	2.837961e-03	2.834117e-03	3.297166e+00
1.883819969181948e-07	2.837872e-03	2.834117e-03	3.297166e+00
1.883907625718000e-07	2.837986e-03	2.834117e-03	3.297166e+00
1.883963633417189e-07	2.838192e-03	2.834117e-03	3.297166e+00
1.884005249828540e-07	2.838432e-03	2.834117e-03	3.297166e+00
1.884047254355089e-07	2.838738e-03	2.834117e-03	3.297166e+00
1.884108798723739e-07	2.839213e-03	2.834117e-03	3.297166e+00
1.884174284903780e-07	2.839617e-03	2.834117e-03	3.297166e+00
1.884241574133986e-07	2.839705e-03	2.834117e-03	3.297166e+00
1.884320411647579e-07	2.839235e-03	2.834117e-03	3.297166e+00
1.884375890523404e-07	2.838470e-03	2.834117e-03	3.297166e+00
1.884427665073875e-07	2.837453e-03	2.834117e-03	3.297166e+00
1.884467129380033e-07	2.836593e-03	2.834117e-03	3.297166e+00
1.884505308897913e-07	2.835843e-03	2.834117e-03	3.297166e+00
