time	V(probe)	V(n024)
1.035687059239004e-08	1.659908e-04	6.684369e-06
1.036745208417295e-08	-1.140343e-03	-1.299637e-03
1.038106593194612e-08	-2.837282e-03	-2.996573e-03
1.039725548075458e-08	-4.892086e-03	-5.051254e-03
1.040952961801731e-08	-6.483669e-03	-6.642835e-03
1.042061607757502e-08	-7.950566e-03	-8.109729e-03
1.043143689245248e-08	-9.411177e-03	-9.570203e-03
1.044216699026635e-08	-1.088862e-02	-1.104764e-02
1.045317316661037e-08	-1.243559e-02	-1.259461e-02
1.047518551929842e-08	-1.562762e-02	-1.578647e-02
1.049870717069827e-08	-1.918141e-02	-1.934018e-02
1.051540172474855e-08	-2.178950e-02	-2.194822e-02
1.053273626029415e-08	-2.456051e-02	-2.471915e-02
1.055274851662438e-08	-2.780769e-02	-2.796631e-02
1.057795160131776e-08	-3.189359e-02	-3.205215e-02
1.061227588109625e-08	-3.725417e-02	-3.741267e-02
1.063436004435670e-08	-4.048028e-02	-4.063874e-02
1.065208466281555e-08	-4.289721e-02	-4.305565e-02
1.067269127131833e-08	-4.549798e-02	-4.565641e-02
1.068460046565229e-08	-4.689751e-02	-4.705594e-02
1.069675170623168e-08	-4.824924e-02	-4.840766e-02
1.070840799927367e-08	-4.947739e-02	-4.963582e-02
1.072063075831445e-08	-5.069909e-02	-5.085751e-02
1.074004334625642e-08	-5.251827e-02	-5.267670e-02
1.076360089248532e-08	-5.456374e-02	-5.472218e-02
1.078131746281447e-08	-5.601517e-02	-5.617363e-02
1.079890775019790e-08	-5.740992e-02	-5.756841e-02
1.081927494870419e-08	-5.898562e-02	-5.914415e-02
1.084631331057201e-08	-6.100318e-02	-6.116177e-02
1.087170453585273e-08	-6.277015e-02	-6.292882e-02
1.089969920563857e-08	-6.446789e-02	-6.462666e-02
1.093008311891305e-08	-6.587524e-02	-6.603415e-02
1.094931261630785e-08	-6.648182e-02	-6.664083e-02
1.096514452995676e-08	-6.680167e-02	-6.696088e-02
1.098288638077369e-08	-6.697360e-02	-6.713281e-02
1.100128211572933e-08	-6.696212e-02	-6.712145e-02
1.103071940998166e-08	-6.660596e-02	-6.676549e-02
1.106277227449382e-08	-6.582394e-02	-6.598373e-02
1.109740720731368e-08	-6.459783e-02	-6.475790e-02
1.112975312170576e-08	-6.312742e-02	-6.328779e-02
1.117390536148486e-08	-6.061306e-02	-6.077384e-02
1.121726454888702e-08	-5.764669e-02	-5.780790e-02
1.126443473448290e-08	-5.416266e-02	-5.432436e-02
1.129282604374666e-08	-5.209731e-02	-5.225931e-02
1.131995609850786e-08	-5.023580e-02	-5.039811e-02
1.135129785576648e-08	-4.823393e-02	-4.839659e-02
1.138861084642390e-08	-4.597506e-02	-4.613813e-02
1.142313308785289e-08	-4.385839e-02	-4.402186e-02
1.145493150894353e-08	-4.175508e-02	-4.191890e-02
1.148762627636728e-08	-3.939216e-02	-3.955632e-02
1.152342803010760e-08	-3.663871e-02	-3.680325e-02
1.156671516844755e-08	-3.325849e-02	-3.342345e-02
1.159297058891444e-08	-3.124970e-02	-3.141492e-02
1.161563719239740e-08	-2.956975e-02	-2.973518e-02
1.164514874605744e-08	-2.748750e-02	-2.765319e-02
1.167330401852987e-08	-2.564876e-02	-2.581469e-02
1.169448556322299e-08	-2.438037e-02	-2.454648e-02
1.171826808130141e-08	-2.307714e-02	-2.324353e-02
1.174746646153020e-08	-2.162103e-02	-2.178752e-02
1.177753573733642e-08	-2.021507e-02	-2.038175e-02
1.181156388285192e-08	-1.861985e-02	-1.878673e-02
1.183604754535436e-08	-1.741084e-02	-1.757795e-02
1.185863000695453e-08	-1.622018e-02	-1.638727e-02
1.188618350202258e-08	-1.465546e-02	-1.482256e-02
1.191911020339246e-08	-1.263650e-02	-1.280378e-02
1.194926173086227e-08	-1.069135e-02	-1.085869e-02
1.196676653006207e-08	-9.550223e-03	-9.717595e-03
1.198434517654975e-08	-8.428420e-03	-8.595790e-03
1.200163658347779e-08	-7.373792e-03	-7.541162e-03
1.202048437210840e-08	-6.298697e-03	-6.466071e-03
1.203387133980803e-08	-5.587626e-03	-5.755000e-03
1.204787158952670e-08	-4.893329e-03	-5.060705e-03
1.206734033840540e-08	-4.011706e-03	-4.179041e-03
1.208835827135253e-08	-3.165554e-03	-3.332855e-03
1.210831127212320e-08	-2.458127e-03	-2.625429e-03
1.212885838960752e-08	-1.817272e-03	-1.984484e-03
1.214768051693550e-08	-1.294253e-03	-1.461465e-03
1.216735844242593e-08	-7.945849e-04	-9.616837e-04
1.218439243359890e-08	-3.869931e-04	-5.540919e-04
1.220071040458186e-08	-8.291473e-06	-1.752690e-04
1.221210719144521e-08	2.526981e-04	8.572075e-05
1.222008148774992e-08	4.340740e-04	2.671767e-04
1.222524085439337e-08	5.509201e-04	3.840229e-04
