time	V(pulse)	V(ref)	V(v+)
1.032182041399531e-08	3.289170e+00	9.205366e-03	3.290795e+00
1.036613454421783e-08	3.289100e+00	9.242252e-03	3.290758e+00
1.039846709601083e-08	3.288981e+00	9.354532e-03	3.290645e+00
1.043644634294919e-08	3.289253e+00	9.098902e-03	3.290901e+00
1.047477827550500e-08	3.290183e+00	8.203427e-03	3.291797e+00
1.049644196555032e-08	3.291066e+00	7.344348e-03	3.292656e+00
1.050989317788046e-08	3.291775e+00	6.651513e-03	3.293349e+00
1.052137107200942e-08	3.292455e+00	5.984592e-03	3.294015e+00
1.053494554251470e-08	3.293311e+00	5.143274e-03	3.294857e+00
1.054833651458141e-08	3.294177e+00	4.288635e-03	3.295711e+00
1.057511845871485e-08	3.295871e+00	2.611887e-03	3.297388e+00
1.060412775928743e-08	3.297518e+00	9.757110e-04	3.299024e+00
1.063485192700136e-08	3.298867e+00	-3.713688e-04	3.300371e+00
1.067375321747212e-08	3.299923e+00	-1.434824e-03	3.301435e+00
1.071174186045504e-08	3.300337e+00	-1.857131e-03	3.301857e+00
1.074641826954480e-08	3.300288e+00	-1.812754e-03	3.301813e+00
1.078538717612941e-08	3.300027e+00	-1.548389e-03	3.301548e+00
1.082438558494757e-08	3.299840e+00	-1.347774e-03	3.301348e+00
1.086439358643561e-08	3.299894e+00	-1.378097e-03	3.301378e+00
1.088897495155942e-08	3.300099e+00	-1.565938e-03	3.301566e+00
1.090533027254096e-08	3.300323e+00	-1.778811e-03	3.301779e+00
1.091816276541440e-08	3.300538e+00	-1.984877e-03	3.301985e+00
1.093140265893062e-08	3.300782e+00	-2.220492e-03	3.302221e+00
1.095788244596306e-08	3.301288e+00	-2.711453e-03	3.302711e+00
1.098658968669757e-08	3.301831e+00	-3.238772e-03	3.303239e+00
1.101293126248517e-08	3.302309e+00	-3.703544e-03	3.303704e+00
1.103091568249714e-08	3.302617e+00	-4.001954e-03	3.304002e+00
1.105011854781568e-08	3.302918e+00	-4.293863e-03	3.304294e+00
1.107305339425190e-08	3.303217e+00	-4.584217e-03	3.304584e+00
1.110849457711311e-08	3.303501e+00	-4.859303e-03	3.304859e+00
1.115181035907621e-08	3.303526e+00	-4.880404e-03	3.304880e+00
1.119386950747413e-08	3.303256e+00	-4.604360e-03	3.304604e+00
1.124597374604019e-08	3.302802e+00	-4.133029e-03	3.304133e+00
1.127451960736804e-08	3.302665e+00	-3.979183e-03	3.303979e+00
1.129528133599291e-08	3.302710e+00	-4.006537e-03	3.304007e+00
1.131374912874713e-08	3.302880e+00	-4.158811e-03	3.304159e+00
1.133656499933996e-08	3.303264e+00	-4.518884e-03	3.304519e+00
1.138219674052561e-08	3.304311e+00	-5.522986e-03	3.305523e+00
1.142663523695068e-08	3.305416e+00	-6.594753e-03	3.306595e+00
1.145078882440927e-08	3.305923e+00	-7.090774e-03	3.307091e+00
1.147477081083153e-08	3.306216e+00	-7.381522e-03	3.307381e+00
1.149973810945713e-08	3.306236e+00	-7.404270e-03	3.307404e+00
1.153276956359447e-08	3.305846e+00	-7.021504e-03	3.307021e+00
1.157196200740746e-08	3.305031e+00	-6.207258e-03	3.306207e+00
1.162259303773714e-08	3.303991e+00	-5.147970e-03	3.305148e+00
1.166216900095973e-08	3.303684e+00	-4.801400e-03	3.304801e+00
1.169815061384592e-08	3.304123e+00	-5.188812e-03	3.305189e+00
1.172908731466864e-08	3.305079e+00	-6.096288e-03	3.306096e+00
1.175947913148032e-08	3.306388e+00	-7.360547e-03	3.307360e+00
1.179148400975208e-08	3.307876e+00	-8.811760e-03	3.308812e+00
1.181842818849720e-08	3.308999e+00	-9.913931e-03	3.309914e+00
1.184635056212022e-08	3.309855e+00	-1.075976e-02	3.310760e+00
1.187165530636675e-08	3.310260e+00	-1.116373e-02	3.311164e+00
1.189705116189816e-08	3.310278e+00	-1.118488e-02	3.311185e+00
1.192020606279511e-08	3.309982e+00	-1.089223e-02	3.310892e+00
1.194616289674109e-08	3.309397e+00	-1.030780e-02	3.310308e+00
1.197428623426031e-08	3.308679e+00	-9.581536e-03	3.309582e+00
1.201375875382390e-08	3.307903e+00	-8.774633e-03	3.308775e+00
1.205417589608191e-08	3.307676e+00	-8.498559e-03	3.308499e+00
1.208864398038693e-08	3.308074e+00	-8.843106e-03	3.308843e+00
1.211078998027270e-08	3.308664e+00	-9.396609e-03	3.309397e+00
1.213175165709091e-08	3.309443e+00	-1.014025e-02	3.310140e+00
1.215373035097480e-08	3.310382e+00	-1.104553e-02	3.311045e+00
1.217943948938771e-08	3.311520e+00	-1.214963e-02	3.312150e+00
1.220439590709291e-08	3.312549e+00	-1.315139e-02	3.313151e+00
1.223172943516664e-08	3.313458e+00	-1.403953e-02	3.314039e+00
1.226266678741204e-08	3.314118e+00	-1.468319e-02	3.314683e+00
1.229541318708939e-08	3.314385e+00	-1.493780e-02	3.314938e+00
1.232093245765750e-08	3.314287e+00	-1.483150e-02	3.314831e+00
1.234693763267876e-08	3.313966e+00	-1.449925e-02	3.314499e+00
1.237396918321929e-08	3.313531e+00	-1.404882e-02	3.314049e+00
1.241085197825563e-08	3.312973e+00	-1.346212e-02	3.313462e+00
1.245526518596166e-08	3.312486e+00	-1.293382e-02	3.312934e+00
1.248023732641127e-08	3.312349e+00	-1.277055e-02	3.312771e+00
1.249870294770031e-08	3.312340e+00	-1.274134e-02	3.312741e+00
1.251723956010196e-08	3.312400e+00	-1.278194e-02	3.312782e+00
1.254371647657624e-08	3.312575e+00	-1.292730e-02	3.312927e+00
1.257376374666459e-08	3.312858e+00	-1.317727e-02	3.313177e+00
1.260904197894872e-08	3.313247e+00	-1.353004e-02	3.313530e+00
1.263874486229595e-08	3.313561e+00	-1.381706e-02	3.313817e+00
1.266362986486139e-08	3.313761e+00	-1.399770e-02	3.313998e+00
1.268502493381510e-08	3.313844e+00	-1.406735e-02	3.314067e+00
1.270678074252855e-08	3.313807e+00	-1.401925e-02	3.314019e+00
1.273797640017775e-08	3.313543e+00	-1.374214e-02	3.313742e+00
1.277525142979796e-08	3.312961e+00	-1.314638e-02	3.313146e+00
1.282130859716496e-08	3.312009e+00	-1.217515e-02	3.312175e+00
1.286572584959903e-08	3.311054e+00	-1.119537e-02	3.311195e+00
1.288613127221297e-08	3.310686e+00	-1.081132e-02	3.310811e+00
1.290548442253050e-08	3.310443e+00	-1.055013e-02	3.310550e+00
1.292426301703268e-08	3.310320e+00	-1.040790e-02	3.310408e+00
1.295058862412167e-08	3.310316e+00	-1.037479e-02	3.310375e+00
1.297665972157455e-08	3.310468e+00	-1.049790e-02	3.310498e+00
1.300509535210305e-08	3.310753e+00	-1.075519e-02	3.310755e+00
1.303101006608666e-08	3.311036e+00	-1.101705e-02	3.311017e+00
1.305298231520560e-08	3.311217e+00	-1.118599e-02	3.311186e+00
1.307485310392477e-08	3.311270e+00	-1.123190e-02	3.311232e+00
1.309757567331677e-08	3.311133e+00	-1.109398e-02	3.311094e+00
1.312065365214749e-08	3.310753e+00	-1.071824e-02	3.310718e+00
1.314663328457281e-08	3.310041e+00	-1.001355e-02	3.310014e+00
1.317667023654509e-08	3.308952e+00	-8.930634e-03	3.308931e+00
1.321235841685548e-08	3.307552e+00	-7.529332e-03	3.307529e+00
1.325628933029691e-08	3.306013e+00	-5.972002e-03	3.305972e+00
1.328055947047738e-08	3.305407e+00	-5.347518e-03	3.305347e+00
1.329929937703772e-08	3.305173e+00	-5.093464e-03	3.305094e+00
1.331934965815926e-08	3.305152e+00	-5.049712e-03	3.305050e+00
1.334437525087088e-08	3.305375e+00	-5.244265e-03	3.305244e+00
1.336826130711378e-08	3.305759e+00	-5.605421e-03	3.305605e+00
1.340391108087536e-08	3.306387e+00	-6.210394e-03	3.306210e+00
1.344177154247140e-08	3.306860e+00	-6.673651e-03	3.306674e+00
1.346608926596506e-08	3.306929e+00	-6.744603e-03	3.306745e+00
1.348531381256425e-08	3.306761e+00	-6.583137e-03	3.306583e+00
1.350878618393144e-08	3.306311e+00	-6.143422e-03	3.306144e+00
1.352971464463829e-08	3.305722e+00	-5.565563e-03	3.305566e+00
1.354746745498953e-08	3.305097e+00	-4.949372e-03	3.304949e+00
1.356510467065536e-08	3.304405e+00	-4.263211e-03	3.304263e+00
1.359285253829313e-08	3.303321e+00	-3.181742e-03	3.303182e+00
1.362776642407571e-08	3.302126e+00	-1.979031e-03	3.301979e+00
